h,n,n_weeks,wape,bias,exact,within10,chain_wape,p10,p90
1,345,16,0.17529349134082706,-0.02392016813712714,0.13333333333333333,0.6231884057971014,0.13220557980136308,0.8167689085749409,1.1766505589070384
2,361,16,0.5739370816673968,0.008110176399802584,0.0332409972299169,0.11911357340720222,0.2429808849380854,0.1515151515151515,2.521441889372278
3,346,15,0.6342625162904956,0.05796533151879318,0.023121387283236993,0.11271676300578035,0.2145732178486166,0.06745570754964095,2.8771512225449896
4,331,14,0.663764872830477,0.06440648158255406,0.015105740181268883,0.12386706948640483,0.1934984050746522,0.057722308892355696,2.896296296296296
5,315,13,0.7079642330619832,0.025405422729312222,0.025396825396825397,0.12063492063492064,0.17629959617973207,0.030822008137850496,3.04070737407614
6,296,12,0.8177763987046983,0.17619932594135493,0.02364864864864865,0.13175675675675674,0.2568354894187317,0.02804963567266072,3.3497514160260256
7,275,11,0.8527989905881145,0.2525290315954723,0.025454545454545455,0.13090909090909092,0.30853818672652716,0.023904341030731413,3.6974573841423117
8,251,10,0.7911478709761205,0.18048408305059982,0.00796812749003984,0.10756972111553785,0.2253210175159494,0.020408163265306124,2.9805258033106132
