bucket,n,n_weeks,wape,bias,exact,within10,p10,p90,lowo_cov
A (0-1),2664,16,0.7388467502613365,-0.6960243579118272,0.11824324324324324,0.23986486486486486,0.9889018458102966,2051.7704309617443,0.7984234234234234
B (2-3),689,16,0.2722662466935435,0.007904995868662279,0.06095791001451379,0.37590711175616837,0.5778189869496583,1.4032784194586299,0.7939042089985486
C (4-8),1801,16,0.5224445319388451,0.026980130760997954,0.028317601332593003,0.14825097168239867,0.17241379310344823,2.383941605839415,0.7956690727373681
h2 (9-15),2450,16,0.6068652828639568,0.03883311287190648,0.022040816326530613,0.11469387755102041,0.09020800112582614,2.6960753894307303,0.7987755102040817
h3-4 (16-29),4571,15,0.6642130947183105,0.04258746850292219,0.02165828046379348,0.11791730474732007,0.047619047619047616,2.870129870129868,0.7943557208488295
h5+ (30+),7936,13,0.8156458312779868,0.18708022045593492,0.01940524193548387,0.12159778225806452,0.032177493086047906,3.4838893140100056,0.795866935483871
