signal,n,n_scored,sum_actual,sum_forecast,wape,bias,median_ape,exact_share,within_10_share,wape_lo80,wape_hi80,admitted_weekly
plan_sat_ordered,432.0,340.0,404760.0,400805.0,0.1683392627730013,-0.009771222452811543,0.06791660901249942,0.12941176470588237,0.6176470588235294,0.11557778554692522,0.22752325798935144,True
plan_thu_ordered,432.0,339.0,404760.0,394798.0,0.3028955430378496,-0.024612115821721514,0.17817898612291136,0.07669616519174041,0.3333333333333333,0.24024187282301268,0.36684736387414374,True
plan_biweekly_ordered,432.0,350.0,404760.0,413815.0,0.38947771518924795,0.022371281747208222,0.21614756828780812,0.037142857142857144,0.24571428571428572,0.32221630158234726,0.4631783728492151,True
lag1_rep,432.0,350.0,404760.0,421430.0,0.7912491352900485,0.04118489969364562,0.5219988344988344,0.02857142857142857,0.13142857142857142,0.6329244374386831,0.9600840157603361,True
mean4_rep,432.0,370.0,404760.0,432480.5,0.8172200810356754,0.06848626346476924,0.5294444729868006,0.008108108108108109,0.0918918918918919,0.6784062412050268,0.9797910900482026,False
dfe,383.0,381.0,329368.0,652456.9940000001,1.3906614850258676,0.9809361990235848,0.5528460792131837,0.0,0.07874015748031496,1.1763347440390932,1.6400628678740103,False
