tcin,week_start,sales,orders,receipts,oh_start,oh_end,source
89854821,2026-08-30,1350.904413187646,2058.0,2094.0,10773.0,11516.095586812355,plan
89854821,2026-09-06,1891.2661784627044,2712.0,1176.0,11516.095586812355,10800.829408349651,plan
89854821,2026-09-13,1891.2661784627044,1902.0,2154.0,10800.829408349651,11063.563229886946,plan
89854821,2026-09-20,1891.2661784627044,1092.0,2058.0,11063.563229886946,11230.29705142424,plan
89854821,2026-09-27,1891.2661784627044,3000.0,2712.0,11230.29705142424,12051.030872961535,plan
89854821,2026-10-04,1891.2661784627044,3306.0,1902.0,12051.030872961535,12061.76469449883,plan
89854821,2026-10-11,1891.2661784627044,7920.0,1092.0,12061.76469449883,11262.498516036125,plan_forward
89854821,2026-10-18,1891.2661784627044,5004.0,3000.0,11262.498516036125,12371.23233757342,plan
89854821,2026-10-25,1891.2661784627044,2694.0,3306.0,12371.23233757342,13785.966159110714,plan
89854821,2026-11-01,1891.2661784627044,1975.276382749637,7920.0,13785.966159110714,19814.69998064801,controller
89854821,2026-11-08,1891.2661784627044,1598.480518903556,5004.0,19814.69998064801,22927.433802185304,controller
89854821,2026-11-15,1891.2661784627044,1403.934655057475,2694.0,22927.433802185304,23730.1676237226,controller
89854821,2026-11-22,1891.2661784627044,1353.7637912113942,1975.276382749637,23730.1676237226,23814.17782800953,controller
89854821,2026-11-29,1891.2661784627041,1348.5131534434604,1598.480518903556,23814.17782800953,23521.39216845038,controller
89854821,2026-12-06,1891.2661784627044,1366.8122571659078,1403.934655057475,23521.39216845038,23034.06064504515,controller
89854821,2026-12-13,1891.2661784627044,1397.2704773787348,1353.7637912113942,23034.06064504515,22496.558257793837,controller
89854821,2026-12-20,1891.2661784627044,1430.8643765819418,1348.5131534434604,22496.558257793837,21953.80523277459,controller
89854821,2026-12-27,1891.2661784627041,1464.7864406456442,1366.8122571659078,21953.80523277459,21429.351311477792,controller
89854821,2027-01-03,1891.2661784627044,1497.5648107266945,1397.2704773787348,21429.351311477792,20935.35561039382,controller
89854821,2027-01-10,1891.2661784627044,1528.4395420444428,1430.8643765819418,20935.35561039382,20474.95380851306,controller
89854821,2027-01-17,1891.2661784627044,1557.2146546619904,1464.7864406456442,20474.95380851306,20048.474070695996,controller
89854821,2027-01-24,1891.2661784627044,1583.8696382755568,1497.5648107266945,20048.474070695996,19654.772702959985,controller
89854821,2027-01-31,1891.2661784627044,1608.4759737590575,1528.4395420444428,19654.772702959985,19291.94606654172,controller
89854821,2027-02-07,1891.2661784627041,1631.1526385351985,1557.2146546619904,19291.94606654172,18957.894542741007,controller
89854821,2027-02-14,1891.2661784627041,1652.0308587727432,1583.8696382755568,18957.894542741007,18650.498002553857,controller
89854821,2027-02-21,1891.2661784627041,1671.2431425344403,1608.4759737590575,18650.498002553857,18367.70779785021,controller
89854821,2027-02-28,1891.2661784627044,1688.9175303284185,1631.1526385351985,18367.70779785021,18107.5942579227,controller
89854821,2027-03-07,1891.2661784627044,1705.1746265738877,1652.0308587727432,18107.5942579227,17868.35893823274,controller
89854821,2027-03-14,1891.2661784627044,1720.1268340545103,1671.2431425344403,17868.35893823274,17648.335902304476,controller
89854821,2027-03-21,1891.2661784627044,1733.8782738000268,1688.9175303284185,17648.335902304476,17445.987254170188,controller
89854821,2027-03-28,1967.844396251136,1861.3923909910673,1705.1746265738877,17445.987254170188,17183.317484492938,controller
89854821,2027-04-04,2069.9486866357115,2030.9656871727586,1720.1268340545103,17183.317484492938,16833.495631911737,controller
89854821,2027-04-11,2069.9486866357115,2052.8295529590837,1733.8782738000268,16833.495631911737,16497.425219076053,controller
89854821,2027-04-18,2069.9486866357115,2073.8339537613138,1861.3923909910673,16497.425219076053,16288.868923431408,controller
89854821,2027-04-25,2069.9487267328614,2086.868782384829,2030.9656871727586,16288.868923431408,16249.885883871306,controller
89854821,2027-05-02,2069.948967315758,2089.3055832316804,2052.8295529590837,16249.885883871306,16232.76646951463,controller
89854821,2027-05-09,2069.948967315758,2090.375546628973,2073.8339537613138,16232.76646951463,16236.651455960186,controller
89854821,2027-05-16,2069.948967315758,2090.132734976126,2086.868782384829,16236.651455960186,16253.571271029257,controller
