tcin,week_start,sales,orders,receipts,oh_start,oh_end,source
89854821,2026-08-30,1350.9044179027437,2058.0,2094.0,10773.0,11516.095582097256,plan
89854821,2026-09-06,1891.266185063841,2712.0,1176.0,11516.095582097256,10800.829397033414,plan
89854821,2026-09-13,1891.266185063841,1902.0,2154.0,10800.829397033414,11063.563211969573,plan
89854821,2026-09-20,1891.266185063841,1092.0,2058.0,11063.563211969573,11230.297026905731,plan
89854821,2026-09-27,1891.2661850638412,3000.0,2712.0,11230.297026905731,12051.03084184189,plan
89854821,2026-10-04,1891.266185063841,3306.0,1902.0,12051.03084184189,12061.764656778048,plan
89854821,2026-10-11,1891.266185063841,7920.0,1092.0,12061.764656778048,11262.498471714207,plan_forward
89854821,2026-10-18,1891.266185063841,5004.0,3000.0,11262.498471714207,12371.232286650365,plan
89854821,2026-10-25,1891.266185063841,2694.0,3306.0,12371.232286650365,13785.966101586524,plan
89854821,2026-11-01,1891.266185063841,1975.2763962466038,7920.0,13785.966101586524,19814.699916522684,controller
89854821,2026-11-08,1891.266185063841,1598.4805328130938,5004.0,19814.699916522684,22927.433731458845,controller
89854821,2026-11-15,1891.266185063841,1403.9346693795837,2694.0,22927.433731458845,23730.167546395005,controller
89854821,2026-11-22,1891.266185063841,1353.7638059460737,1975.2763962466038,23730.167546395005,23814.17775757777,controller
89854821,2026-11-29,1891.2661850638412,1348.5131677471513,1598.4805328130938,23814.17775757777,23521.392105327024,controller
89854821,2026-12-06,1891.266185063841,1366.8122710128225,1403.9346693795837,23521.392105327024,23034.06058964277,controller
89854821,2026-12-13,1891.266185063841,1397.2704907430884,1353.7638059460737,23034.06058964277,22496.558210525003,controller
89854821,2026-12-20,1891.266185063841,1430.8643894379488,1348.5131677471513,22496.558210525003,21953.805193208314,controller
89854821,2026-12-27,1891.2661850638412,1464.7864530202423,1366.8122710128225,21953.805193208314,21429.351279157298,controller
89854821,2027-01-03,1891.266185063841,1497.5648226484304,1397.2704907430884,21429.351279157298,20935.355584836547,controller
89854821,2027-01-10,1891.266185063841,1528.4395535434774,1430.8643894379488,20935.355584836547,20474.953789210656,controller
89854821,2027-01-17,1891.266185063841,1557.2146657700955,1464.7864530202423,20474.953789210656,20048.47405716706,controller
89854821,2027-01-24,1891.266185063841,1583.8696490228203,1497.5648226484304,20048.47405716706,19654.77269475165,controller
89854821,2027-01-31,1891.2661850638415,1608.4759841737841,1528.4395535434774,19654.77269475165,19291.946063231284,controller
89854821,2027-02-07,1891.2661850638415,1631.152648643807,1557.2146657700955,19291.946063231284,18957.89454393754,controller
89854821,2027-02-14,1891.2661850638415,1652.030868599666,1583.8696490228203,18957.89454393754,18650.498007896516,controller
89854821,2027-02-21,1891.2661850638415,1671.24315210223,1608.4759841737841,18650.498007896516,18367.70780700646,controller
89854821,2027-02-28,1891.266185063841,1688.9175396578578,1631.152648643807,18367.70780700646,18107.59427058643,controller
89854821,2027-03-07,1891.266185063841,1705.1746356841097,1652.030868599666,18107.59427058643,17868.358954122254,controller
89854821,2027-03-14,1891.266185063841,1720.1268429631207,1671.24315210223,17868.358954122254,17648.335921160644,controller
89854821,2027-03-21,1891.266185063841,1733.8782825232213,1688.9175396578578,17648.335921160644,17445.987275754662,controller
89854821,2027-03-28,1967.8445715074195,1861.3926525264628,1705.1746356841097,17445.987275754662,17183.317339931353,controller
89854821,2027-04-04,2069.9490867655236,2030.9662964025758,1720.1268429631207,17183.317339931353,16833.49509612895,controller
89854821,2027-04-11,2069.9490867655236,2052.830186640226,1733.8782825232213,16833.49509612895,16497.42429188665,controller
89854821,2027-04-18,2069.9490867655236,2073.8346119053695,1861.3926525264628,16497.42429188665,16288.867857647589,controller
89854821,2027-04-25,2069.9490867673057,2086.8693890479844,2030.9662964025758,16288.867857647589,16249.88506728286,controller
89854821,2027-05-02,2069.949086777998,2089.3058134618186,2052.830186640226,16249.88506728286,16232.766167145086,controller
89854821,2027-05-09,2069.949086777998,2090.3757447204293,2073.8346119053695,16232.766167145086,16236.651692272457,controller
89854821,2027-05-16,2069.949086777998,2090.1328993999687,2086.8693890479844,16236.651692272457,16253.57199454244,controller
89854821,2027-05-23,2069.949086777998,2089.075380508095,2089.3058134618186,16253.57199454244,16272.928721226262,controller
89854821,2027-05-30,2069.9490867690874,2087.8655850769896,2090.3757447204293,16272.928721226262,16293.355379177603,controller
89854821,2027-06-06,2069.9490867655236,2086.588918949685,2090.1328993999687,16293.355379177603,16313.539191812046,controller
89854821,2027-06-13,2069.9490867655236,2085.3274306600324,2089.075380508095,16313.539191812046,16332.665485554617,controller
89854821,2027-06-20,2069.9490867655236,2084.1320373011217,2087.8655850769896,16332.665485554617,16350.581983866081,controller
89854821,2027-06-27,2069.9490867708696,2083.0122561646745,2086.588918949685,16350.581983866081,16367.221816044897,controller
89854821,2027-07-04,2069.949086777998,2081.972266664191,2085.3274306600324,16367.221816044897,16382.600159926931,controller
89854821,2027-07-11,2069.949086777998,2081.011120171564,2084.1320373011217,16382.600159926931,16396.783110450055,controller
89854821,2027-07-18,2069.949086777998,2080.124685763869,2083.0122561646745,16396.783110450055,16409.846279836733,controller
89854821,2027-07-25,2069.949086777998,2079.3082376772018,2081.972266664191,16409.846279836733,16421.869459722926,controller
89854821,2027-08-01,2069.949086777998,2078.5567889343147,2081.011120171564,16421.869459722926,16432.93149311649,controller
89854821,2027-08-08,2069.949086777998,2077.865411847217,2080.124685763869,16432.93149311649,16443.107092102364,controller
89854821,2027-08-15,2069.949086777998,2077.2294369105994,2079.3082376772018,16443.107092102364,16452.466243001567,controller
89854821,2027-08-22,2069.949086777998,2076.6444899793996,2078.5567889343147,16452.466243001567,16461.073945157885,controller
89854821,2027-08-29,2069.9490867708696,2076.1065085839364,2077.865411847217,16461.073945157885,16468.990270234233,controller
89854821,2027-09-05,2069.9490867655236,2075.611738258646,2077.2294369105994,16468.990270234233,16476.27062037931,controller
89854821,2027-09-12,2069.9490867655236,2075.1567163745785,2076.6444899793996,16476.27062037931,16482.966023593188,controller
89854821,2027-09-19,2069.9490867655236,2074.7382536737114,2076.1065085839364,16482.966023593188,16489.123445411602,controller
89854821,2027-09-26,2069.9490867690874,2074.353414815406,2075.611738258646,16489.123445411602,16494.78609690116,controller
89854821,2027-10-03,2069.949086777998,2073.999499110675,2075.1567163745785,16494.78609690116,16499.99372649774,controller
89854821,2027-10-10,2069.949086777998,2073.6740222608887,2074.7382536737114,16499.99372649774,16504.782893393458,controller
89854821,2027-10-17,2069.949086777998,2073.3746993299064,2074.353414815406,16504.782893393458,16509.187221430868,controller
89854821,2027-10-24,2069.949086777998,2073.099428827568,2073.999499110675,16509.187221430868,16513.237633763547,controller
89854821,2027-10-31,2069.9490867673057,2072.846278040737,2073.6740222608887,16513.237633763547,16516.96256925713,controller
89854821,2027-11-07,2069.9490867655236,2072.6134695697147,2073.3746993299064,16516.96256925713,16520.388181821516,controller
89854821,2027-11-14,2069.9490867655236,2072.3993687844404,2073.099428827568,16520.388181821516,16523.538523883562,controller
89854821,2027-11-21,2069.9490867655236,2072.2024724055627,2072.846278040737,16523.538523883562,16526.43571515878,controller
89854821,2027-11-28,2069.9490867726518,2072.0213979615537,2072.6134695697147,16526.43571515878,16529.10009795584,controller
89854821,2027-12-05,2069.949086777998,2071.8548740447573,2072.3993687844404,16529.10009795584,16531.550379962286,controller
89854821,2027-12-12,2069.949086777998,2071.7017314193545,2072.2024724055627,16531.550379962286,16533.80376558985,controller
89854821,2027-12-19,2069.949086777998,2071.5608948176314,2072.0213979615537,16533.80376558985,16535.87607677341,controller
89854821,2027-12-26,1774.2420743811413,1627.8708567733738,2071.8548740447573,16535.87607677341,16833.488876437026,controller
89854821,2028-01-02,1947.875,1869.7194452226859,2071.7017314193545,16833.488876437026,16957.31560785638,controller
89854821,2028-01-09,1947.875,1861.9802745089762,2071.5608948176314,16957.31560785638,17081.00150267401,controller
89854821,2028-01-16,1947.875,1854.2499060828743,1627.8708567733738,17081.00150267401,16760.997359447385,controller
89854821,2028-01-23,1947.875,1874.2501650345384,1869.7194452226859,16760.997359447385,16682.84180467007,controller
89854821,2028-01-30,1947.875,1879.1348872081205,1861.9802745089762,16682.84180467007,16596.947079179048,controller
89854821,2028-02-06,1947.875,1884.5033075513095,1854.2499060828743,16596.947079179048,16503.321985261922,controller
89854822,2026-08-30,3.125,4.6875,0.0,0.0,0.0,controller
89854822,2026-09-06,4.375,6.5625,0.0,0.0,0.0,controller
89854822,2026-09-13,4.375,6.5625,0.0,0.0,0.0,controller
89854822,2026-09-20,4.375,6.5625,4.6875,0.0,0.3125,controller
89854822,2026-09-27,4.375,6.54296875,6.5625,0.3125,2.5,controller
89854822,2026-10-04,4.375,6.40625,6.5625,2.5,4.6875,controller
89854822,2026-10-11,4.375,6.26953125,6.5625,4.6875,6.875,controller
89854822,2026-10-18,4.375,6.1328125,6.54296875,6.875,9.04296875,controller
89854822,2026-10-25,4.375,5.997314453125,6.40625,9.04296875,11.07421875,controller
89854822,2026-11-01,4.375,5.870361328125,6.26953125,11.07421875,12.96875,controller
89854822,2026-11-08,4.375,5.751953125,6.1328125,12.96875,14.7265625,controller
89854822,2026-11-15,4.375,5.64208984375,5.997314453125,14.7265625,16.348876953125,controller
89854822,2026-11-22,4.375,5.5406951904296875,5.870361328125,16.348876953125,17.84423828125,controller
89854822,2026-11-29,4.375,5.447235107421875,5.751953125,17.84423828125,19.22119140625,controller
89854822,2026-12-06,4.375,5.361175537109375,5.64208984375,19.22119140625,20.48828125,controller
89854822,2026-12-13,4.375,5.281982421875,5.5406951904296875,20.48828125,21.653976440429688,controller
89854822,2026-12-20,4.375,5.2091264724731445,5.447235107421875,21.653976440429688,22.726211547851562,controller
89854822,2026-12-27,4.375,5.142111778259277,5.361175537109375,22.726211547851562,23.712387084960938,controller
89854822,2027-01-03,4.375,5.080475807189941,5.281982421875,23.712387084960938,24.619369506835938,controller
89854822,2027-01-10,4.375,5.023789405822754,5.2091264724731445,24.619369506835938,25.453495979309082,controller
89854822,2027-01-17,4.375,4.971656501293182,5.142111778259277,25.453495979309082,26.22060775756836,controller
89854822,2027-01-24,4.375,4.9237120151519775,5.080475807189941,26.22060775756836,26.9260835647583,controller
89854822,2027-01-31,4.375,4.879619777202606,5.023789405822754,26.9260835647583,27.574872970581055,controller
89854822,2027-02-07,4.375,4.839070439338684,4.971656501293182,27.574872970581055,28.171529471874237,controller
89854822,2027-02-14,4.375,4.80177940800786,4.9237120151519775,28.171529471874237,28.720241487026215,controller
89854822,2027-02-21,4.375,4.767484907060862,4.879619777202606,28.720241487026215,29.22486126422882,controller
89854822,2027-02-28,4.375,4.735946170985699,4.839070439338684,29.22486126422882,29.688931703567505,controller
89854822,2027-03-07,4.375,4.706941768527031,4.80177940800786,29.688931703567505,30.115711111575365,controller
89854822,2027-03-14,4.375,4.68026805552654,4.767484907060862,30.115711111575365,30.508196018636227,controller
89854822,2027-03-21,4.375,4.655737748835236,4.735946170985699,30.508196018636227,30.869142189621925,controller
89854822,2027-03-28,4.375,4.63317861314863,4.706941768527031,30.869142189621925,31.201083958148956,controller
89854822,2027-04-04,4.375,4.61243225261569,4.68026805552654,31.201083958148956,31.506352013675496,controller
89854822,2027-04-11,4.375,4.5933529991452815,4.655737748835236,31.506352013675496,31.787089762510732,controller
