candidate,n,wape,bias,weight,weight_basis
owner_velocity,66,0.34220397351869586,-0.04054976470024318,0.414337211617899,"1/WAPE^2 over 3 trailing months, as_of 2026-09-04"
runrate_8wk,66,0.28783142125088135,-0.07385267194360974,0.585662788382101,"1/WAPE^2 over 3 trailing months, as_of 2026-09-04"
