band,k,wape,bias,objective
8.0,16.0,0.6685477816980707,0.028348566173710683,0.6968963478717815
7.0,16.0,0.6577101005930486,-0.05703858099992493,0.7147486815929736
9.0,12.0,0.7079093473963417,0.03778448189575365,0.7456938292920954
8.0,12.0,0.6850937116833071,-0.06727410354577992,0.752367815229087
9.0,8.0,0.7346013812776818,-0.036706609864124315,0.7713079911418061
6.0,16.0,0.6524323671270925,-0.14038911774641544,0.792821484873508
9.0,16.0,0.6868112378950529,0.11452664026724721,0.8013378781623002
9.0,6.0,0.7641483997697869,-0.0534203513249756,0.8175687510947625
7.0,12.0,0.6688218633485974,-0.1685262774316243,0.8373481407802217
8.0,8.0,0.7045093273778245,-0.16787825613692667,0.8723875835147511
5.0,16.0,0.6509646422941221,-0.22166163857818483,0.8726262808723069
9.0,4.0,0.844240531866977,-0.03064076458223857,0.8748812964492155
10.0,8.0,0.7800655450041288,0.10151100705652728,0.8815765520606561
10.0,12.0,0.7377119147711633,0.14614784300477957,0.8838597577759428
10.0,16.0,0.7128984545079198,0.20123219446738233,0.914130648975302
