tcin,sku,description,item_group,ship_week,units,cases,grade,confidence,stream,casepack
1012914812,,Biom Santal Escape Cleaning Wipe Go-Pack All-Purpose Cleaners - 20ct,D3-C2,2026-08-30,0.0,,C,C · directional · ±50%,forecast_replenishment,
1012914813,,Biom Fresh Citrus Disinfecting Wipe Go-Pack All-Purpose Cleaners - 20ct,D3-C2,2026-08-30,0.0,,C,C · directional · ±50%,forecast_replenishment,
89854821,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,2026-09-06,2712.0,452.0,C,C · directional · ±50%,forecast_replenishment,6.0
89854822,P-60WIP-AP-LAV,"Biom Lavender Ease All Purpose Cleaning Wipes Refill - 60ct: Safe for Sensitive Skin, Contains Naturally Derived Ingredients, Removes Grease",D3-C2,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
89854823,P-DIS-WHI,"Biom Refillable Plant-Based Wipes Dispenser - White: BPA-Free, Multi-Surface Use, Silicone Components",D3-C2,2026-09-06,2022.0,337.0,C,C · directional · ±50%,forecast_replenishment,6.0
89854824,P-60WIP-AP-GRA,"Biom Grapefruit Zest All Purpose Cleaning Wipes Refill - 60ct: Safe for Sensitive Skin, Contains Naturally Derived Ingredients, Multi-Surface Cleaner",D3-C2,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
89854825,P-DIS-TAN,Biom Refillable Plant-Based Wipes Dispenser - Sand,D3-C2,2026-09-06,3648.0,608.0,C,C · directional · ±50%,forecast_replenishment,6.0
89854826,P-60WIP-AP-STL,Biom Plant Based Refillable All Purpose Wipes - Santal Escape - 60ct,D3-C2,2026-09-06,3144.0,262.0,C,C · directional · ±50%,forecast_replenishment,12.0
93197977,P-60WIP-AP-NER,Biom Plant Based Refillable All Purpose Wipes - Neroli Dream - 60ct,D3-C2,2026-09-06,1152.0,96.0,C,C · directional · ±50%,forecast_replenishment,12.0
93197978,,Biom Refillable Wipe Dispenser,D3-C2,2026-09-06,0.0,,C,C · directional · ±50%,forecast_replenishment,
93197979,P-60WIP-AP-FRA,Biom Plant Based Refillable All Purpose Wipes - Fragrance Free - 60ct,D3-C2,2026-09-06,2856.0,238.0,C,C · directional · ±50%,forecast_replenishment,12.0
94643458,P-DIS-DGR,"Biom Refillable Wipes Dispenser - Hunter Green: BPA-Free, Silicone Material",D3-C2,2026-09-06,6.0,1.0,C,C · directional · ±50%,forecast_replenishment,6.0
94643459,P-DIS-BLK,"Biom Refillable Wipes Dispenser - Black: BPA-Free, Silicone, Cleaning Tools and Accessories",D3-C2,2026-09-06,12.0,2.0,C,C · directional · ±50%,forecast_replenishment,6.0
94643460,P-DIS-LGR,"Biom Refillable Wipes Dispenser - Seafoam: BPA-Free, Silicone, 8 Inch Height",D3-C2,2026-09-06,24.0,4.0,C,C · directional · ±50%,forecast_replenishment,6.0
94723685,P-60WIP-AP-FIR,"Biom Fraser Fir All-Purpose Cleaning Wipes Refill - 60ct: Removes Dirt, Grease, Multi-Surface Use",D3-C2,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
94723686,P-60WIP-AP-PEP,Biom Peppermint All-Purpose Cleaning Wipes Refill - 60ct,D3-C2,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
94723687,P-6DIS-WHI,"Biom Mini Refillable Wipe Dispenser - Bone: BPA-Free, Silicone, 6 Height",D3-C2,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,6.0
94723688,P-DIS-TER,Biom Refillable Plant-Based Wipes Dispenser - Terracotta,D3-C2,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,6.0
94723689,P-40WIP-6IN-AP-VAN,"Biom Tres Vanille All-Purpose Cleaning Mini Wipes - 40ct: Refill Pouch, Removes Dirt",D3-C2,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,12.0
94799734,K-DIS-2BAB-WHI,"Biom 99% Water Hypoallergenic Baby Starter Kit - White - Fragrance Free - 120 wipes: Face, Hands, Nose, Whole Body, Diaper Area",D7,2026-09-06,20.0,5.0,A,A · high · ±15%,created,4.0
94799736,K-DIS-2BAB-LGR,"Biom 99% Water Hypoallergenic Baby Starter Kit - Seafoam Green - Fragrance Free - 120ct: Refillable, Alcohol-Free, Aloe & Vitamin E",D7,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,4.0
94799737,P-60WIP-BAB-FRA,"Biom 99% Water Hypoallergenic Baby Wipes - Fragrance Free - 60ct: Alcohol-Free, Contains Aloe, Refill Pouch",D7,2026-09-06,48.0,4.0,A,A · high · ±15%,created,12.0
94799738,K-DIS-2BAB-PUR,"Biom 99% Water Hypoallergenic Baby Starter Kit - Lilac - Fragrance Free - 120ct: Refillable Container, Contains Aloe, Contains Vitamin E",D7,2026-09-06,0.0,0.0,C,C · directional · ±50%,forecast_replenishment,6.0
94799739,K-60WIP-BAB-FRA-4PK,"Biom 99% Water Hypoallergenic Baby Wipes -Fragrance Free - 240ct: Face, Hands, Nose, Whole Body, Diaper Area",D7,2026-09-06,39.0,13.0,A,A · high · ±15%,created,3.0
94799740,K-60WIP-BAB-FRA-12PK,"Biom 99% Water Hypoallergenic Baby Wipes - Fragrance Free - 720ct: Face & Body Application, Refill Pouch, With Aloe & Vitamin E",D7,2026-09-06,21.0,21.0,A,A · high · ±15%,created,1.0
94928289,P-60WIP-DSN-ALP,Biom Plastic Free Plant Based Disinfecting Wipes - Alpine Mint - 60ct,D3-C2,2026-09-06,24.0,2.0,C,C · directional · ±50%,forecast_replenishment,12.0
94928290,P-DIS-SS-BRU,Biom Refillable Plant-Based Wipes Dispenser - Brushed Stainless,D3-C2,2026-09-06,416.0,104.0,C,C · directional · ±50%,forecast_replenishment,4.0
94928291,K-60WIP-DSN-COM-3PK,"Biom Plastic Free Plant Based Disinfecting Wipes - Variety - 3pk/180ct: Ammonia-Free, Paraben-Free, Mint Scent",D3-C2,2026-09-06,1484.0,371.0,C,C · directional · ±50%,forecast_replenishment,4.0
94928292,P-60WIP-DSN-CIT,"Biom Plastic Free Plant Based Disinfecting Wipes - Fresh Citrus - 60ct: Ammonia-Free, Aluminum-Free, Paraben-Free",D3-C2,2026-09-06,1656.0,138.0,C,C · directional · ±50%,forecast_replenishment,12.0
