month,snapshot,n_tcin,wape,bias,chain_actual,chain_plan,within25,p10,p90
Jun-26,2026-05-31,26,0.703655568160541,0.04472811780643882,90793,94854,0.19230769230769232,0.025996345476538806,4.58935900803273
Jul-26,2026-06-30,23,0.2990545441423236,0.09372462695992638,110846,121235,0.4782608695652174,0.5436507645128144,1.4185033271594072
Aug-26,2026-07-31,25,0.45294027051757096,-0.07776700700301682,110381,101797,0.36,0.324168224683343,1.5930605448726212
